title,unit_price,description,date_updated
Veal - Eye Of Round,14,"Removal of Monitor Dev from Endocrine Gland, Extern Approach",03/06/2021
Beef - Top Sirloin,22,"Removal of Extraluminal Device from Up Intest Tract, Endo",20/03/2021
Mountain Dew,61,"Dilate R Post Tib Art, Bifurc, w 4+ Intralum Dev, Open",19/10/2021
Mayonnaise,54,"Revision of Synth Sub in Cerv Disc, Extern Approach",08/12/2021
Syrup - Pancake,77,"Revision of Nonaut Sub in Tracheobronc Tree, Open Approach",29/07/2021
"Bread - Sticks, Thin, Plain",94,"Measurement of Respiratory Total Activity, Endo",04/02/2022
Muffin Mix - Blueberry,98,"Excision of Left Clavicle, Percutaneous Endoscopic Approach",21/04/2021
Wine - Lamancha Do Crianza,32,"Eye, Removal",04/05/2021
Juice - Happy Planet,10,"Alteration of Left Buttock, Percutaneous Approach",29/10/2021
Allspice - Jamaican,58,"Excision of Right Inner Ear, Open Approach",05/01/2022
Milk 2% 500 Ml,62,"Revision of Autol Sub in Mediastinum, Extern Approach",28/11/2021
"Seedlings - Buckwheat, Organic",40,"Insertion of Neuro Lead into R Innom Vein, Open Approach",08/11/2021
Pasta - Angel Hair,17,"Fluoroscopy of R Renal Vein using H Osm Contrast, Guidance",15/11/2021
Pepper - Chili Powder,22,"Dilate of R Foot Art with 2 Intralum Dev, Perc Endo Approach",21/10/2021
Towel Dispenser,17,"Restriction of R Neck Lymph with Intralum Dev, Perc Approach",21/12/2021
"Pepper - Chipotle, Canned",62,"Revision of Nonaut Sub in L Wrist Jt, Perc Approach",08/02/2022
Milk 2% 500 Ml,90,"Drainage of Right Middle Lobe Bronchus with Drain Dev, Endo",13/05/2021
Scallop - St. Jaques,79,"Insertion of Intralum Dev into Portal Vein, Perc Approach",06/05/2021
Lettuce - Baby Salad Greens,35,Plain Radiography of L Up Extrem Vein using L Osm Contrast,12/07/2021
Steamers White,98,"Extirpation of Matter from Cul-de-sac, Via Opening",18/11/2021
"Lamb - Whole, Frozen",56,"Bypass Ileum to Cecum with Autol Sub, Perc Endo Approach",07/07/2021
Scallop - St. Jaques,52,"Reattachment of Uterine Supporting Structure, Open Approach",07/06/2021
"Potatoes - Yukon Gold, 80 Ct",35,"Reposition Left Glenoid Cavity, Perc Endo Approach",11/08/2021
Basil - Pesto Sauce,24,CT Scan of Ear using L Osm Contrast,15/01/2022
Shrimp - 31/40,14,"Repair L Up Leg Subcu/Fascia, Perc Approach",06/08/2021
Oil - Peanut,56,"Restrict of Sup Vena Cava with Extralum Dev, Perc Approach",13/12/2021
Savory,67,"Transfer R Low Arm & Wrist Tendon, Perc Endo Approach",29/12/2021
Persimmons,39,CT Scan of Renal Art Transplant using Oth Contrast,01/04/2021
Duck - Legs,28,"Excision of C-thor Disc, Perc Endo Approach, Diagn",30/04/2021
Crackers - Soda / Saltins,75,"Insertion of Radioact Elem into Mediastinum, Perc Approach",07/03/2021
"Veal - Shank, Pieces",76,"Drain of Buttock Subcu/Fascia with Drain Dev, Open Approach",20/11/2021
Fondant - Icing,59,"Occlusion of Abd Aorta with Intralum Dev, Perc Approach",24/05/2021
Liquid Aminios Acid - Braggs,56,Removal of Packing Material on Right Lower Leg,31/08/2021
Soup - Campbells Pasta Fagioli,88,"Revision of Nonaut Sub in L Femur Shaft, Perc Approach",08/10/2021
"Yogurt - Blueberry, 175 Gr",41,"Release Lumbar Nerve, Percutaneous Endoscopic Approach",18/12/2021
Tuna - Loin,30,"Excision of Rectum, Percutaneous Endoscopic Approach",07/09/2021
Coffee - Flavoured,24,"Restrict Cisterna Chyli w Intralum Dev, Perc Endo",04/01/2022
Everfresh Products,23,"Introduction of Analg/Hypnot/Sedat into Fem Reprod, Endo",04/06/2021
Pork - European Side Bacon,37,"Drainage of Duodenum with Drainage Device, Perc Approach",29/12/2021
Carbonated Water - Raspberry,56,"Release Appendix, Percutaneous Approach",29/09/2021
"Crab - Dungeness, Whole",60,HDR Brachytherapy of Mediastinum using Californium 252,16/02/2021
Cheese - Sheep Milk,86,"Excision of Lesser Omentum, Open Approach",22/06/2021
Bread Sour Rolls,56,"Insertion of Feeding Device into Jejunum, Perc Approach",10/11/2021
Cheese - Cambozola,83,"Excision of Right Common Carotid Artery, Open Approach",04/10/2021
Wine - Carmenere Casillero Del,47,"Transfer R Low Leg Subcu/Fascia w Skin, Subcu, Perc",15/11/2021
Squid - Tubes / Tenticles 10/20,7,"Destruction of Right Axillary Lymphatic, Perc Approach",23/03/2021
Muffin - Zero Transfat,37,"Reposition Right Mandible, Open Approach",17/12/2021
Sambuca - Opal Nera,60,"Revision of Nonaut Sub in L Tibia, Open Approach",25/08/2021
"Gin - Gilbeys London, Dry",62,"Introduction of Oth Therap Subst into Resp Tract, Endo",17/08/2021
"Pasta - Lasagna, Dry",41,"Transfer Oculomotor Nerve to Olfact Nrv, Perc Endo Approach",01/01/2022
Cup - 8oz Coffee Perforated,8,"Insert Infusion Dev in Inf Vena Cava, Perc Endo",23/06/2021
"Pork - Butt, Boneless",1,Plain Radiography of Right Humerus,27/07/2021
Tea Peppermint,46,"Supplement Left Cephalic Vein with Synth Sub, Perc Approach",09/05/2021
Pepper - Chilli Seeds Mild,14,"Bypass Ileum to Transverse Colon with Autol Sub, Endo",29/07/2021
Sauce Tomato Pouch,28,"Occlusion L Low Lobe Bronc w Extralum Dev, Open",23/10/2021
"Olives - Black, Pitted",30,"Revision of Infusion Device in Penis, Open Approach",08/02/2022
Buffalo - Striploin,62,"Insertion of Infusion Dev into Hepatobil Duct, Via Opening",02/05/2021
Maintenance Removal Charge,74,"Insert Infusion Dev in L Ext Jugular Vein, Perc",02/12/2021
Huck Towels White,53,"Supplement R Thyroid Art with Synth Sub, Open Approach",20/03/2021
Tarts Assorted,57,"Destruction of Skull, Open Approach",19/08/2021
Nut - Macadamia,80,"Replacement of Right Ulna with Nonaut Sub, Open Approach",03/06/2021
"Crab - Claws, 26 - 30",51,"Insert of Infusion Pump into Abd Subcu/Fascia, Perc Approach",26/02/2021
Kaffir Lime Leaves,37,"Drainage of Right External Iliac Vein, Perc Endo Approach",13/11/2021
Soy Protein,73,"Revision of Int Fix in L Sternoclav Jt, Perc Endo Approach",16/01/2022
Jam - Apricot,16,"Bypass R Axilla Art to R Low Leg Art w Nonaut Sub, Open",01/03/2021
Langers - Mango Nectar,95,"Fusion of R Metacarpophal Jt with Autol Sub, Open Approach",15/08/2021
"Nut - Chestnuts, Whole",5,"Reposition Left Metacarpal, External Approach",26/11/2021
Wine - Alicanca Vinho Verde,59,"Alteration of L Ext Ear with Synth Sub, Perc Approach",22/12/2021
Glass Clear 7 Oz Xl,79,"Bypass L Ulnar Art to Low Arm Vein w Autol Art, Open",11/01/2022
Tart - Pecan Butter Squares,86,Immobilization of Right Upper Extremity using Other Device,09/03/2021
Beer - True North Lager,22,"Excision of Left Frontal Sinus, Perc Endo Approach, Diagn",18/06/2021
Soup Campbells,68,"Excision of Left Common Carotid Artery, Perc Approach, Diagn",09/11/2021
"Oranges - Navel, 72",60,"Insertion of Infusion Device into Lower Vein, Perc Approach",28/07/2021
Orange - Tangerine,30,"Supplement Right Radius with Nonaut Sub, Perc Endo Approach",21/07/2021
Rice - 7 Grain Blend,78,"Dilation of L Int Carotid with 3 Drug-elut, Open Approach",24/11/2021
"Mushroom - Chanterelle, Dry",48,Stereotactic Other Photon Radiosurgery of Peripheral Nerve,22/07/2021
"Veal - Round, Eye Of",12,"Release Tricuspid Valve, Percutaneous Endoscopic Approach",30/04/2021
Towel - Roll White,1,"Resection of Anal Sphincter, Perc Endo Approach",31/03/2021
Spice - Peppercorn Melange,49,"Insertion of Intralum Dev into Lg Intest, Open Approach",12/04/2021
Pepper Squash,82,"Extirpation of Matter from L Int Jugular Vein, Perc Approach",05/01/2022
Oil - Shortening - All - Purpose,68,"Removal of Synthetic Substitute from Coccyx, Perc Approach",16/02/2021
Pastry - Banana Muffin - Mini,38,"Supplement R Shoulder Jt with Synth Sub, Perc Approach",21/03/2021
"Soup - Campbells, Classic Chix",46,"Supplement Right 5th Toe with Autol Sub, Perc Endo Approach",23/07/2021
"Coffee - Beans, Whole",44,"Reposition Left Ankle Joint with Int Fix, Extern Approach",15/03/2021
Ham - Cooked,11,"Revision of Autol Sub in Lumsac Jt, Perc Endo Approach",20/06/2021
Rice - Basmati,49,"Repair Left Pelvic Bone, Percutaneous Endoscopic Approach",06/03/2021
Tomato Puree,29,"Insertion of Infusion Device into Splenic Art, Open Approach",09/12/2021
Olive - Spread Tapenade,82,"Replacement of Left Ventricle with Synth Sub, Open Approach",20/11/2021
Apple - Northern Spy,83,"Release Left Sternoclavicular Joint, Perc Endo Approach",24/09/2021
Rice - Long Grain,75,"Release Lumbar Nerve, Percutaneous Endoscopic Approach",23/01/2022
Wine - Spumante Bambino White,62,"Extirpation of Matter from L Pulm Art, Perc Approach",05/05/2021
Chicken - Leg / Back Attach,38,"Drainage of Left Metatarsal-Phalangeal Joint, Perc Approach",01/02/2022
Truffle Cups - White Paper,92,"Nuclear Medicine, Heart, Nonimaging Nuclear Medicine Probe",15/02/2021
Quail - Jumbo Boneless,53,"Excision of Right Hip Muscle, Perc Endo Approach",07/08/2021
Turkey - Ground. Lean,94,"Fusion Lum Jt w Nonaut Sub, Post Appr P Col, Perc Endo",21/10/2021
Cheese - Valancey,6,"Fusion >7 T Jt w Synth Sub, Post Appr A Col, Perc",19/12/2021
"Lid - High Heat, Super Clear",5,"Supplement Pelvic Subcu/Fascia w Autol Sub, Perc",16/12/2021
"Crab - Blue, Frozen",47,"Excision of Lower Jaw, External Approach, Diagnostic",18/10/2021
Yeast Dry - Fleischman,74,Exercise Treatment of Resp Body using Physical Agent,21/10/2021
Wine - Piper Heidsieck Brut,14,"Fusion of R Finger Phalanx Jt with Autol Sub, Open Approach",09/12/2021
Veal - Inside,7,"Excision of Left Lower Leg Muscle, Percutaneous Approach",08/10/2021
Water - Perrier,53,"Fusion Lumsac Jt w Nonaut Sub, Ant Appr A Col, Open",27/11/2021
Pastry - Raisin Muffin - Mini,24,"Inspection of Skull, Percutaneous Approach",24/01/2022
Flavouring - Orange,83,"Repair Left Lower Arm Skin, External Approach",03/03/2021
"Tortillas - Flour, 10",19,"Release Cystic Duct, Percutaneous Endoscopic Approach",30/03/2021
"Gingerale - Schweppes, 355 Ml",97,Dressing of Right Foot using Bandage,13/04/2021
Wine - Conde De Valdemar,69,"Insertion of Feeding Device into Esophagus, Open Approach",12/02/2021
Wine - George Duboeuf Rose,23,"Excision of Left Ulna, Open Approach",06/07/2021
Munchies Honey Sweet Trail Mix,76,"Removal of Drainage Device from Right Ear, Perc Approach",01/11/2021
Coffee Guatemala Dark,22,"Dilate L Int Iliac Art, Bifurc, w Drug-elut Intra, Perc",19/06/2021
"Pasta - Linguini, Dry",95,"Revision of Neurostimulator Lead in Brain, Perc Approach",03/08/2021
Vodka - Moskovskaya,17,"Insertion of Hybrid Ext Fix into R Low Femur, Perc Approach",01/11/2021
Wine - Rubyport,26,"Restriction of L Colic Art with Extralum Dev, Open Approach",04/08/2021
Sugar - Invert,49,"Chiropractic Manipulation of Rib Cage, Mechanically Assisted",23/09/2021
Yokaline,29,"Revision of Spacer in Left Hip Joint, External Approach",25/01/2022
Sugar - Fine,27,"Dilation of Right Femoral Artery, Bifurcation, Perc Approach",22/01/2022
Wine - Shiraz Wolf Blass Premium,55,"Control Bleeding in Cranial Cavity, Perc Endo Approach",05/06/2021
Bread - White Epi Baguette,45,"Restriction of Low Esophag with Extralum Dev, Open Approach",13/09/2021
"Rum - Coconut, Malibu",9,"CT Scan B Tracheobronc Tree w H Osm Contrast, Unenh, Enhance",31/10/2021
"Peas - Pigeon, Dry",87,"Reposition Left Sternoclavicular Joint, Open Approach",27/05/2021
Beer - Moosehead,34,"Drainage of Ileocecal Valve with Drain Dev, Perc Approach",21/09/2021
Cookie Dough - Oatmeal Rasin,37,"Drain of Perineum Subcu/Fascia with Drain Dev, Perc Approach",19/11/2021
"Nut - Pine Nuts, Whole",12,"Bypass Right Hepatic Duct to L Hep Duc, Perc Endo Approach",09/04/2021
Nantucket Apple Juice,32,"Repair Left Femoral Shaft, Open Approach",14/03/2021
"Beef - Tenderlion, Center Cut",52,"Insertion of Hybrid Ext Fix into R Radius, Open Approach",25/09/2021
Milkettes - 2%,84,"Occlusion of R Popl Art with Intralum Dev, Open Approach",18/01/2022
Wine - Remy Pannier Rose,20,"Revision of Infusion Dev in Fem Perineum, Perc Endo Approach",07/09/2021
"Shrimp, Dried, Small / Lb",65,"Division of Pituitary Gland, Percutaneous Approach",07/09/2021
Smoked Tongue,34,"Release Abdominal Aorta, Percutaneous Approach",16/10/2021
Squeeze Bottle,64,"Supplement Left Axilla with Nonaut Sub, Open Approach",14/08/2021
Nacho Chips,32,"Extirpation of Matter from R Com Iliac Vein, Perc Approach",31/05/2021
Eggplant - Regular,7,"Revise Synth Sub in R Metatarsophal Jt, Perc Endo",27/05/2021
Rice - Jasmine Sented,72,"Urinary System, Occlusion",11/01/2022
Table Cloth 120 Round White,70,Change Packing Material on Right Upper Leg,02/11/2021
Wine - Semi Dry Riesling Vineland,82,"Supplement Bilateral Breast with Synthetic Substitute, Endo",22/04/2021
"Melon - Watermelon, Seedless",94,"Occlusion of Gastric Vein, Open Approach",07/03/2021
"Tabasco Sauce, 2 Oz",72,"Destruction of Left Temporomandibular Joint, Open Approach",28/10/2021
Mustard - Pommery,18,"Bypass L Great Saphenous to Low Vein, Open Approach",13/01/2022
Durian Fruit,57,"Reposition Right Orbit, External Approach",18/06/2021
Shortbread - Cookie Crumbs,85,HDR Brachytherapy of Pelvis Lymph using Iodine 125,27/06/2021
Cocktail Napkin Blue,80,"Supplement L Foot Tendon with Synth Sub, Perc Endo Approach",25/10/2021
Wine - Savigny - Les - Beaune,18,Ultrasonography of Superior Vena Cava,17/09/2021
Table Cloth 72x144 White,5,"Drainage of Hymen, Percutaneous Approach, Diagnostic",18/09/2021
Cheese - Swiss Sliced,62,Hyperthermia of Bladder,09/06/2021
Longos - Grilled Chicken With,10,"Dilation of Anus with Intraluminal Device, Perc Approach",10/02/2022
Smoked Tongue,7,"Insertion of Infusion Dev into R Post Tib Art, Open Approach",19/01/2022
Eggs - Extra Large,3,Beam Radiation of Liver using Photons >10 MeV,01/02/2022
Creme De Cacao Mcguines,20,"Robot Assist of Head and Neck, Perc Endo Approach",29/11/2021
Halibut - Steaks,56,"Destruction of Right External Ear, Percutaneous Approach",29/10/2021
"Juice - Clamato, 341 Ml",40,"Inspection of Right Sternoclavicular Joint, Perc Approach",08/05/2021
Glove - Cutting,63,"Insert of Radioact Elem into Resp Tract, Perc Endo Approach",19/03/2021
Table Cloth 53x69 White,76,"Dilate R Axilla Art, Bifurc, w 4+ Intralum Dev, Perc Endo",04/07/2021
"Beef - Ground, Extra Lean, Fresh",98,"Repair Right Internal Carotid Artery, Percutaneous Approach",26/03/2021
Tea - Herbal Orange Spice,84,"Dilation of Urethra, Open Approach",28/12/2021
Beer - Sleemans Honey Brown,22,"Repair Left 3rd Toe, Percutaneous Approach",08/01/2022
"Bread - Roll, Soft White Round",9,"Removal of Other Device from Mediastinum, Perc Endo Approach",13/10/2021
Curry Paste - Madras,45,"Release Right Subclavian Vein, Percutaneous Approach",27/12/2021
Extract - Lemon,63,"Drainage of Right Axillary Lymphatic, Open Approach, Diagn",05/03/2021
The Pop Shoppe - Cream Soda,35,"Excision of Stomach, Open Approach",12/03/2021
Banana,39,"Drainage of Right Mastoid Sinus, Percutaneous Approach",23/03/2021
Wine - Shiraz Wolf Blass Premium,92,"Reposition Right Ulna with Ext Fix, Open Approach",29/01/2022
Cape Capensis - Fillet,8,"Drainage of Right Toe Phalanx, Percutaneous Approach",27/06/2021
Yeast Dry - Fermipan,32,"Drainage of Upper Gingiva, External Approach, Diagnostic",25/08/2021
Juice - Cranberry 284ml,11,"Drainage of Oculomotor Nerve, Open Approach, Diagnostic",27/09/2021
Muffin - Carrot Individual Wrap,3,"Revision of Int Fix in Thor Vertebra, Perc Approach",21/12/2021
"Rum - Dark, Bacardi, Black",63,"Removal of Autol Sub from R Tarsal, Perc Endo Approach",20/04/2021
"Wine - White, Mosel Gold",5,"Monitoring of Arterial Flow, Pulmonary, Open Approach",02/05/2021
Beer - Blue Light,50,"Dilation of Low Art, Bifurc, with 4 Drug-elut, Perc Approach",04/05/2021
Swordfish Loin Portions,35,"Supplement Nasal Bone with Synth Sub, Perc Approach",12/09/2021
Pears - Bosc,72,"Release Left Lower Leg Skin, External Approach",24/11/2021
Cookies - Englishbay Wht,66,Beam Radiation of Pancreas using Neutrons,11/08/2021
Cabbage - Green,24,"Restriction of Right Vertebral Vein, Perc Endo Approach",08/03/2021
Wine - Maipo Valle Cabernet,78,"Removal of Infusion Device from Thor Disc, Extern Approach",02/12/2021
Alize Gold Passion,37,"Reposition L Ulna with Monopln Ext Fix, Perc Endo Approach",28/06/2021
Cranberry Foccacia,50,"Fusion R Finger Phalanx Jt w Nonaut Sub, Perc Endo",05/04/2021
Container - Foam Dixie 12 Oz,76,"Removal of Radioactive Element from Resp Tract, Via Opening",01/05/2021
Chips - Miss Vickies,97,"Replace of R Toe Phalanx Jt with Synth Sub, Open Approach",21/10/2021
Shrimp - Black Tiger 8 - 12,41,"Revision of Synthetic Substitute in L Auditory Ossicle, Endo",29/10/2021
Versatainer Nc - 9388,32,"Bypass R Ureter to Cutan with Nonaut Sub, Perc Endo Approach",22/11/2021
Oranges,51,Cochlear Implant Rehabilitation Treatment using Audiometer,11/02/2021
"Cheese - Romano, Grated",53,"Restriction of Pulm Trunk with Extralum Dev, Open Approach",31/03/2021
Chocolate - Dark Callets,20,"Restriction of Rectum, Open Approach",18/10/2021
Plasticknivesblack,18,"Supplement L Int Iliac Art with Synth Sub, Open Approach",31/01/2022
Dc Hikiage Hira Huba,16,"Inspection of Low Extrem Subcu/Fascia, Perc Approach",15/04/2021
"Juice - Apple, 1.36l",4,"Dilate R Foot Art, Bifurc, w Intralum Dev, Open",16/09/2021
"Noodles - Cellophane, Thin",27,"Release Right Extraocular Muscle, Open Approach",15/09/2021
Jolt Cola - Red Eye,65,Beam Radiation of Brain Stem using Electrons,29/12/2021
Table Cloth 81x81 White,96,"Removal of Diaphragm Lead from Diaphragm, Perc Endo Approach",06/05/2021
Broom - Push,21,"Replacement of L Up Eyelid with Autol Sub, Open Approach",07/07/2021
Island Oasis - Magarita Mix,97,"Drainage of Facial Nerve, Percutaneous Approach",04/11/2021
"Fish - Artic Char, Cold Smoked",99,"Excision of Right Cephalic Vein, Perc Endo Approach, Diagn",17/07/2021
"Beans - Kidney, Red Dry",77,"Removal of Synthetic Substitute from Right Ear, Endo",30/09/2021
Icecream - Dibs,3,"Drainage of Subarachnoid Space with Drain Dev, Open Approach",03/05/2021
Appetizer - Tarragon Chicken,76,"Revision of Spacer in Left Carpal Joint, Perc Approach",26/02/2021
Coffee Guatemala Dark,79,"Supplement Cerv Disc with Nonaut Sub, Perc Endo Approach",11/11/2021
Gherkin - Sour,16,Plain Radiography of Splenic Arteries using Other Contrast,01/09/2021
Duck - Whole,32,"Removal of Spacer from L Metatarsotars Jt, Open Approach",28/06/2021
Chick Peas - Dried,97,"Bypass Cereb Vent to Periton Cav w Nonaut Sub, Open",04/10/2021
Wine - Chateau Aqueria Tavel,90,"Resection of Left Vas Deferens, Open Approach",16/10/2021
"Jam - Blackberry, 20 Ml Jar",55,Plain Radiography of Left Scapula,01/08/2021
Flower - Potmums,48,"Supplement Rectum with Synthetic Substitute, Via Opening",20/11/2021
Soup - French Onion,86,"Replacement of Left Atrium with Synth Sub, Open Approach",21/12/2021
Wine - Vineland Estate Semi - Dry,55,"Alteration of Nose with Synthetic Substitute, Perc Approach",04/02/2022
Jello - Assorted,15,"Repair Female Reproductive System in POC, Open Approach",02/02/2022
Trueblue - Blueberry,61,"Reposition Left Sphenoid Bone with Int Fix, Open Approach",18/01/2022
"Bread - Pumpernickle, Rounds",70,"Dilate L Thyroid Art, Bifurc, w 2 Drug-elut, Perc",02/04/2021
Bread Crumbs - Panko,30,"Revision of Spacer in Left Elbow Joint, Perc Approach",31/08/2021
"Juice - Cranberry, 341 Ml",52,"Reposition Right Temporal Artery, Open Approach",20/01/2022
Salmon - Sockeye Raw,47,"Dilation of Inf Vena Cava with Intralum Dev, Perc Approach",22/01/2022
Cake - Mini Potato Pancake,99,"Fusion Cerv Jt w Nonaut Sub, Post Appr P Col, Perc Endo",05/06/2021
Shortbread - Cookie Crumbs,94,"Reposition Left Upper Arm Muscle, Perc Endo Approach",18/07/2021
Vegetable - Base,97,"Destruction of Left Clavicle, Percutaneous Approach",31/12/2021
Oregano - Fresh,17,"Occlusion R Great Saphenous w Intralum Dev, Perc Endo",21/09/2021
Pate Pans Yellow,7,"Removal of Ext Fix from L Knee Jt, Open Approach",07/08/2021
Bread - Corn Muffaleta Onion,25,"Dilation of R Com Carotid, Bifurc, Perc Endo Approach",18/05/2021
Carbonated Water - Raspberry,11,"Resection of Spleen, Percutaneous Endoscopic Approach",20/09/2021
Miso - Soy Bean Paste,30,"Drainage of R Int Jugular Vein with Drain Dev, Open Approach",13/06/2021
"Pepper - Black, Ground",15,"Repair Esophagus, Open Approach",07/02/2022
Bread - Hot Dog Buns,56,"Bypass Trans Colon to Rectum with Autol Sub, Open Approach",04/02/2022
Skirt - 24 Foot,79,"Destruction of Right Lower Lobe Bronchus, Perc Endo Approach",16/03/2021
Energy Drink Red Bull,91,"Bypass Trachea to Cutaneous with Trach Dev, Open Approach",15/02/2021
"Lentils - Red, Dry",52,"Repair Right Hand Muscle, Percutaneous Approach",16/02/2021
Bread Base - Toscano,62,"Drainage of Left Renal Vein, Perc Endo Approach, Diagn",03/10/2021
Wine - Fat Bastard Merlot,31,"Reposition Right Upper Eyelid, External Approach",16/09/2021
Coffee - Frthy Coffee Crisp,51,"Replace Buttock Subcu/Fascia w Nonaut Sub, Open",05/01/2022
"Cherries - Maraschino,jar",19,"Dilate of Innom Art, Bifurc, with 4 Drug-elut, Open Approach",01/11/2021
Longos - Chicken Curried,26,"Division of Perineum Tendon, Perc Endo Approach",30/09/2021
Plate Foam Laminated 9in Blk,17,"Reposition Right Internal Jugular Vein, Perc Endo Approach",28/11/2021
Shiro Miso,90,"Release Left Sublingual Gland, Percutaneous Approach",14/05/2021
The Pop Shoppe - Lime Rickey,76,"Excision of Portal Vein, Percutaneous Approach, Diagnostic",14/06/2021
Garlic Powder,27,"Bypass Cereb Vent to Periton Cav w Synth Sub, Perc",26/03/2021
Sambuca Cream,15,"Revision of Synthetic Substitute in Larynx, Via Opening",20/06/2021
Garam Masala Powder,75,Range of Motion and Joint Mobility Treatment of Integu Body,24/10/2021
Flavouring Vanilla Artificial,39,"Occlusion of Celiac Artery with Extralum Dev, Perc Approach",13/05/2021
Beef - Ox Tongue,31,"Drainage of Bilateral Vas Deferens, Percutaneous Approach",11/02/2021
Ham - Black Forest,66,"Revision of Autol Sub in Pulm Valve, Perc Endo Approach",13/07/2021
Milk - 2%,15,"Extirpation of Matter from L Up Lung Lobe, Perc Approach",06/05/2021
Flour - Whole Wheat,54,"Beam Radiation of Leg Skin using Electrons, Intraoperative",05/03/2021
Rice - 7 Grain Blend,70,"Alteration of Neck with Autol Sub, Open Approach",25/06/2021
Coconut - Whole,57,"Dilation of Celiac Artery, Percutaneous Approach",14/06/2021
Bread - Petit Baguette,28,"Bypass Cereb Vent to Pleural Cav w Nonaut Sub, Perc",18/04/2021
"Wine - White, Schroder And Schyl",11,"Occlusion of R Com Carotid with Intralum Dev, Open Approach",06/04/2021
Baking Soda,56,"Release Left Breast, Percutaneous Approach",21/07/2021
Sobe - Berry Energy,79,"Transfer Abducens Nerve to Optic Nerve, Perc Endo Approach",13/09/2021
Bacardi Mojito,71,"Reposition L Carpal Jt with Ext Fix, Perc Endo Approach",27/01/2022
Bread Crumbs - Panko,7,"Drainage of Bilateral Adrenal Glands, Open Approach",12/12/2021
Cup - Paper 10oz 92959,59,"Fusion of Right Sternoclavicular Joint, Perc Endo Approach",12/04/2021
Pastry - Trippleberry Muffin - Mini,38,Removal of Splint on Right Upper Arm,03/07/2021
"Beans - Long, Chinese",34,"Restriction of Ascending Colon with Intralum Dev, Endo",10/03/2021
Truffle - Whole Black Peeled,27,"Removal of Synth Sub from R Extraoc Muscle, Open Approach",04/07/2021
"Wine - Red, Wolf Blass, Yellow",15,"Extirpate matter from 2 Cor Art, Orbit Athrect, New Tech 1",01/08/2021
Tea - Decaf Lipton,76,"Excision of Right Hepatic Duct, Via Opening, Diagn",17/01/2022
Sword Pick Asst,41,"Dilate of R Fem Art, Bifurc, with 4 Drug-elut, Perc Approach",23/02/2021
Rum - Mount Gay Eclipes,90,"Supplement Large Intestine with Synth Sub, Open Approach",07/11/2021
Potatoes - Mini Red,81,Magnetic Resonance Imaging (MRI) of Left Ovary,11/10/2021
Mint - Fresh,65,"Excision of Thoracic Vertebra, Open Approach",01/12/2021
"Wine - Cahors Ac 2000, Clos",81,"Restrict of Head Lymph with Intralum Dev, Perc Endo Approach",04/05/2021
Rice - Sushi,61,"Resection of Right Diaphragm, Open Approach",01/04/2021
Sugar - Invert,8,"Destruction of Lingula Bronchus, Perc Endo Approach",16/11/2021
Icecream - Dibs,43,"CT Scan of R & L Heart using L Osm Contrast, Unenh, Enhance",01/02/2022
Browning Caramel Glace,32,"Removal of Monitoring Device from Stomach, Endo",29/04/2021
"Pasta - Spaghetti, Dry",22,"Drainage of Lower Lip, Percutaneous Approach, Diagnostic",23/07/2021
"Bread - White, Sliced",62,"Revision of Int Fix in L Clavicle, Open Approach",23/12/2021
Cookie Chocolate Chip With,43,"Occlusion of Left Upper Lobe Bronchus, Via Opening",08/10/2021
Syrup - Pancake,63,"Control Bleeding in Face, Percutaneous Endoscopic Approach",09/02/2022
Silicone Parch. 16.3x24.3,76,"Reposition Right Pelvic Bone, Percutaneous Approach",25/08/2021
Eggplant - Asian,20,"Insertion of Intralum Dev into R Femor Vein, Open Approach",17/05/2021
Bread - Triangle White,71,"Revision of Synth Sub in L Fibula, Extern Approach",26/02/2021
Cheese - Wine,73,"Dilate L Int Mamm Art, Bifurc, w 4 Drug-elut, Perc",17/01/2022
Squid U5 - Thailand,27,"Inspection of Right Temporomandibular Joint, Open Approach",04/11/2021
"Jam - Strawberry, 20 Ml Jar",32,"Repair Olfactory Nerve, Percutaneous Approach",07/02/2022
Bouq All Italian - Primerba,89,"Removal of Drain Dev from R Extraoc Muscle, Perc Approach",27/09/2021
Bread - Bistro White,49,"Resection of Right Tympanic Membrane, Open Approach",12/10/2021
"Soup - French Onion, Dry",66,"Bypass Jejunum to Ileum with Nonaut Sub, Perc Endo Approach",28/06/2021
Beer - Camerons Auburn,87,"Dilate R Thyroid Art, Bifurc, w 2 Intralum Dev, Open",28/12/2021
Chambord Royal,57,"Bypass Abd Aorta to R Com Ilia with Autol Art, Open Approach",21/04/2021
Gingerale - Diet - Schweppes,13,"Repair Right Elbow Region, Percutaneous Approach",01/12/2021
Bread - Flat Bread,61,"Chiropractic Manipulation of Abdomen, Short Lever",26/12/2021
Numi - Assorted Teas,21,"Bypass R Brach Vein to Up Vein w Synth Sub, Perc Endo",03/10/2021
"Juice - Apple, 341 Ml",93,Beam Radiation of Other Bone using Neutrons,12/04/2021
Papayas,23,"Dilate R Fem Art w Drug-elut Intra, Drug Blln, Open",29/07/2021
Tequila - Sauza Silver,17,"Dilate R Radial Art, Bifurc, w 4+ Intralum Dev, Open",07/07/2021
Remy Red Berry Infusion,42,"Dilate L Hand Art, Bifurc, w 4 Drug-elut, Open",03/12/2021
"Wine - Red, Metus Rose",94,"Release Right Knee Joint, Open Approach",17/04/2021
